instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,predictions,ground_truth
149,2011-05-29,2,0,5,0,0,0,1,0.6675,0.61555,0.81875,0.213938,2160.18,2355
150,2011-05-30,2,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1785.96,1549
151,2011-05-31,2,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,736.36,673
152,2011-06-01,2,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,632.7,513
153,2011-06-02,2,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,832.37,736
154,2011-06-03,2,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,992.73,898
155,2011-06-04,2,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,2066.57,1869
156,2011-06-05,2,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,2226.46,1685
157,2011-06-06,2,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,892.64,673
158,2011-06-07,2,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,875.34,763
159,2011-06-08,2,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,712.06,676
160,2011-06-09,2,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,647.42,563
161,2011-06-10,2,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,896.59,815
162,2011-06-11,2,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1882.27,1729
163,2011-06-12,2,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1945.87,1467
164,2011-06-13,2,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,897.85,863
165,2011-06-14,2,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,800.38,727
166,2011-06-15,2,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,1015.81,769
167,2011-06-16,2,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,603.27,545
168,2011-06-17,2,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,912.15,863
169,2011-06-18,2,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1893.15,1807
170,2011-06-19,2,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1936.73,1639
171,2011-06-20,2,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,803.35,699
172,2011-06-21,3,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,780.95,774
173,2011-06-22,3,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,825.37,661
174,2011-06-23,3,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,724.05,746
175,2011-06-24,3,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,993.89,969
176,2011-06-25,3,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,2470.23,1782
177,2011-06-26,3,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,2045.5,1920
178,2011-06-27,3,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,894.11,854
179,2011-06-28,3,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,786.38,732
180,2011-06-29,3,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,892.91,848
181,2011-06-30,3,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1023.28,1027
182,2011-07-01,3,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1309.07,1246
183,2011-07-02,3,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2230.49,2204
184,2011-07-03,3,0,7,0,0,0,2,0.716667,0.668575,0.6825,0.228858,2277.42,2282
185,2011-07-04,3,0,7,1,1,0,2,0.726667,0.665417,0.637917,0.0814792,2665.03,3065
186,2011-07-05,3,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,971.14,1031
187,2011-07-06,3,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,815.88,784
188,2011-07-07,3,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,975.68,754
189,2011-07-08,3,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,835.05,692
190,2011-07-09,3,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,2080.84,1988
191,2011-07-10,3,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1847.56,1743
192,2011-07-11,3,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,766.85,723
193,2011-07-12,3,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,696.78,662
194,2011-07-13,3,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,876.53,748
195,2011-07-14,3,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,910.7,888
196,2011-07-15,3,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1234.08,1318
197,2011-07-16,3,0,7,0,6,0,1,0.686667,0.638263,0.585,0.208342,2294.18,2418
198,2011-07-17,3,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2103.6,2006
199,2011-07-18,3,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,844.99,841
200,2011-07-19,3,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,817.34,752
201,2011-07-20,3,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,838.33,644
202,2011-07-21,3,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,669.41,632
203,2011-07-22,3,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,932.3,562
204,2011-07-23,3,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,1251.39,987
205,2011-07-24,3,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1349.38,1050
206,2011-07-25,3,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,708.93,568
207,2011-07-26,3,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,763.0,750
208,2011-07-27,3,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,850.19,755
209,2011-07-28,3,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,712.47,606
210,2011-07-29,3,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,846.74,670
211,2011-07-30,3,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,2004.15,1559
212,2011-07-31,3,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1931.26,1524
213,2011-08-01,3,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,808.75,729
214,2011-08-02,3,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,817.56,801
215,2011-08-03,3,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,1013.68,467
216,2011-08-04,3,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,803.28,799
217,2011-08-05,3,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1064.28,1023
218,2011-08-06,3,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1524.16,1521
219,2011-08-07,3,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1407.41,1298
220,2011-08-08,3,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,839.89,846
221,2011-08-09,3,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,869.8,907
222,2011-08-10,3,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,878.82,884
223,2011-08-11,3,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,1075.94,812
224,2011-08-12,3,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1159.42,1051
225,2011-08-13,3,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1667.4,1504
226,2011-08-14,3,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1550.75,1338
227,2011-08-15,3,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,797.26,775
228,2011-08-16,3,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,790.11,721
229,2011-08-17,3,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,811.63,668
230,2011-08-18,3,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,751.17,639
231,2011-08-19,3,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,1006.23,797
232,2011-08-20,3,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1956.29,1914
233,2011-08-21,3,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1412.14,1249
234,2011-08-22,3,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,914.63,833
235,2011-08-23,3,0,8,0,2,1,1,0.640833,0.606067,0.455417,0.146763,1187.05,1281
236,2011-08-24,3,0,8,0,3,1,1,0.673333,0.630692,0.605,0.253108,822.93,949
237,2011-08-25,3,0,8,0,4,1,2,0.684167,0.645854,0.771667,0.210833,772.69,435
238,2011-08-26,3,0,8,0,5,1,1,0.7,0.659733,0.76125,0.0839625,880.5,768
239,2011-08-27,3,0,8,0,6,0,2,0.68,0.635556,0.85,0.375617,627.7,226
240,2011-08-28,3,0,8,0,0,0,1,0.707059,0.647959,0.561765,0.304659,1557.85,1415
241,2011-08-29,3,0,8,0,1,1,1,0.636667,0.607958,0.554583,0.159825,924.89,729
242,2011-08-30,3,0,8,0,2,1,1,0.639167,0.594704,0.548333,0.125008,898.34,775
243,2011-08-31,3,0,8,0,3,1,1,0.656667,0.611121,0.597917,0.0833333,1084.94,688
244,2011-09-01,3,0,9,0,4,1,1,0.655,0.614921,0.639167,0.141796,840.57,783
245,2011-09-02,3,0,9,0,5,1,2,0.643333,0.604808,0.727083,0.139929,937.58,875
246,2011-09-03,3,0,9,0,6,0,1,0.669167,0.633213,0.716667,0.185325,1961.33,1935
247,2011-09-04,3,0,9,0,0,0,1,0.709167,0.665429,0.742083,0.206467,2300.33,2521
248,2011-09-05,3,0,9,1,1,0,2,0.673333,0.625646,0.790417,0.212696,1993.22,1236
249,2011-09-06,3,0,9,0,2,1,3,0.54,0.5152,0.886957,0.343943,243.29,204
250,2011-09-07,3,0,9,0,3,1,3,0.599167,0.544229,0.917083,0.0970208,356.8,118
251,2011-09-08,3,0,9,0,4,1,3,0.633913,0.555361,0.939565,0.192748,345.26,153
252,2011-09-09,3,0,9,0,5,1,2,0.65,0.578946,0.897917,0.124379,518.37,417
253,2011-09-10,3,0,9,0,6,0,1,0.66,0.607962,0.75375,0.153608,1931.92,1750
254,2011-09-11,3,0,9,0,0,0,1,0.653333,0.609229,0.71375,0.115054,1786.52,1633
255,2011-09-12,3,0,9,0,1,1,1,0.644348,0.60213,0.692174,0.088913,796.91,690
256,2011-09-13,3,0,9,0,2,1,1,0.650833,0.603554,0.7125,0.141804,815.39,701
257,2011-09-14,3,0,9,0,3,1,1,0.673333,0.6269,0.697083,0.1673,727.56,647
258,2011-09-15,3,0,9,0,4,1,2,0.5775,0.553671,0.709167,0.271146,529.98,428
259,2011-09-16,3,0,9,0,5,1,2,0.469167,0.461475,0.590417,0.164183,872.18,742
260,2011-09-17,3,0,9,0,6,0,2,0.491667,0.478512,0.718333,0.189675,1613.64,1434
261,2011-09-18,3,0,9,0,0,0,1,0.5075,0.490537,0.695,0.178483,1538.28,1353
262,2011-09-19,3,0,9,0,1,1,2,0.549167,0.529675,0.69,0.151742,873.57,691
263,2011-09-20,3,0,9,0,2,1,2,0.561667,0.532217,0.88125,0.134954,458.23,438
264,2011-09-21,3,0,9,0,3,1,2,0.595,0.550533,0.9,0.0964042,478.13,539
265,2011-09-22,3,0,9,0,4,1,2,0.628333,0.554963,0.902083,0.128125,501.49,555
266,2011-09-23,4,0,9,0,5,1,2,0.609167,0.522125,0.9725,0.0783667,363.0,258
267,2011-09-24,4,0,9,0,6,0,2,0.606667,0.564412,0.8625,0.0783833,1630.17,1776
268,2011-09-25,4,0,9,0,0,0,2,0.634167,0.572637,0.845,0.0503792,1729.5,1544
269,2011-09-26,4,0,9,0,1,1,2,0.649167,0.589042,0.848333,0.1107,539.11,684
270,2011-09-27,4,0,9,0,2,1,2,0.636667,0.574525,0.885417,0.118171,483.15,477
271,2011-09-28,4,0,9,0,3,1,2,0.635,0.575158,0.84875,0.148629,511.23,480
272,2011-09-29,4,0,9,0,4,1,1,0.616667,0.574512,0.699167,0.172883,722.68,653
273,2011-09-30,4,0,9,0,5,1,1,0.564167,0.544829,0.6475,0.206475,982.32,830
274,2011-10-01,4,0,10,0,6,0,2,0.41,0.412863,0.75375,0.292296,770.79,480
275,2011-10-02,4,0,10,0,0,0,2,0.356667,0.345317,0.791667,0.222013,696.94,616
276,2011-10-03,4,0,10,0,1,1,2,0.384167,0.392046,0.760833,0.0833458,323.48,330
277,2011-10-04,4,0,10,0,2,1,1,0.484167,0.472858,0.71,0.205854,521.44,486
278,2011-10-05,4,0,10,0,3,1,1,0.538333,0.527138,0.647917,0.17725,617.89,559
279,2011-10-06,4,0,10,0,4,1,1,0.494167,0.480425,0.620833,0.134954,614.37,639
280,2011-10-07,4,0,10,0,5,1,1,0.510833,0.504404,0.684167,0.0223917,1142.93,949
281,2011-10-08,4,0,10,0,6,0,1,0.521667,0.513242,0.70125,0.0454042,2245.46,2235
